t pi pi_I pi_I_delta pi_delta E
0.0105360515657826 8.92630301278403e-05 4.49041566637139e-05 3.61167734725758e-05 8.24209999155064e-06 0.000361167734725758
0.0231793134447218 0.000249530887826797 0.000224333444978945 2.05165272116052e-05 4.6809156362476e-06 0.000205165272116052
0 0 0 0 0 0
0.0168576825052522 7.92106687933674e-05 2.04850184903952e-05 4.55887728129864e-05 1.31368774899858e-05 0.000455887728129864
0.0244436396326157 5.37305523359632e-05 1.04095504809156e-05 3.36439930637949e-05 9.67700879125267e-06 0.00033643993063795
0.0335467881854519 0.000102931391349365 2.18099066997235e-05 6.30002115323558e-05 1.81212731172852e-05 0.000630002115323558
0.0444705664488553 9.16715036901018e-05 2.94145244394684e-05 4.83622799045115e-05 1.38946993461219e-05 0.000483622799045115
0.0575791003649394 4.52226980029331e-05 1.06958855068808e-05 2.68129800101103e-05 7.71383248594204e-06 0.000268129800101103
0.0733093410642404 0.000117176854910222 2.1145271005419e-05 7.45943727549367e-05 2.14372111498664e-05 0.000745943727549367
0.0921856299034015 0.000221028539137727 4.991522746549e-05 0.000132863218021208 3.82500936510295e-05 0.00132863218021208
0.114837176510395 0.00024584121372673 6.78387797211979e-05 0.000138224015338919 3.97784186666136e-05 0.00138224015338919
0.142019032438787 0.000216715794486201 0.00011676821074506 7.75843395788794e-05 2.23632441622622e-05 0.000775843395788794
0.174637259552857 0.00040861805486354 0.000199726512160098 0.000162214200229413 4.66773424740291e-05 0.00162214200229413
0.213779132089742 0.000605821075289872 0.000320287740750182 0.000221734350362968 6.37989841767224e-05 0.00221734350362968
0.260749379134003 0.000710536138075739 0.000512297416502218 0.000153937532041391 4.430118953213e-05 0.00153937532041391
0.317113675587117 0.000930149211607613 0.000770320953257487 0.000124023314068866 3.58049442812598e-05 0.00124023314068866
0.384750831330853 0.0014062995104973 0.00111414510963718 0.000226838018127414 6.53163827327078e-05 0.00226838018127414
0.465915418223337 0.00178340870372686 0.00153893596424619 0.000189819046187013 5.46536932936607e-05 0.00189819046187013
0.563312922494317 0.00221856639402917 0.00205140906683429 0.000129482397591429 3.76749296034559e-05 0.00129482397591429
0 0 0 0 0 0
0.514614170358827 0.000375547170961327 0.000142981365266975 0.00016548713615663 6.7078669537723e-05 0.0016548713615663
0.573052672921415 0.000560866287516814 0.000298165143583355 0.000188304939293165 7.43962046402944e-05 0.00188304939293165
0.643178875996521 0.000916069572329686 0.000598431980812161 0.000223119988437947 9.4517603079577e-05 0.00223119988437947
0.727330319686648 0.00147617468592697 0.00116540927731822 0.000211724686002908 9.90407226058435e-05 0.00211724686002908
0.828312052114801 0.00240508440720872 0.002147914458517 0.00018770319646164 6.94667522300809e-05 0.0018770319646164
0 0 0 0 0 0
0.777821185900725 0.000683910683309189 0.000364171961207599 0.000215281477482279 0.000104457244619311 0.00215281477482279
0.838410225357616 0.000708541347419838 0.000423473774438085 0.000199966102766629 8.51014702151242e-05 0.00199966102766629
0.911117072705886 0.000816725441965661 0.00050154874405317 0.000222550128190205 9.26265697222861e-05 0.00222550128190205
0.99836528952381 0.000960625380246497 0.000612760901971926 0.000240552246752394 0.000107312231522177 0.00240552246752394
1.10306314970532 0.00110527813836644 0.000769300015906914 0.000224491401197309 0.00011148672126222 0.00224491401197309
1.22870058192313 0.00138053272123947 0.00105285631556745 0.000225402068597013 0.000102274337075005 0.00225402068597013
1.3794655005845 0.00184344294923476 0.00155418530002803 0.000208011957802728 8.1245691404002e-05 0.00208011957802728
1.56038340297815 0.0027483257003983 0.00237846457051092 0.000253628645897497 0.000116232483989887 0.00253628645897497
1.77748488585052 0.00394825075989363 0.00361682219856424 0.000223853180721053 0.000107575380608339 0.00223853180721053
0 0 0 0 0 0
1.66893414441434 0.00139480275209439 0.000853633023276462 0.000376868049461912 0.00016430167935602 0.00376868049461912
1.79919503413776 0.00153143946787979 0.00100454103847579 0.000364081462654714 0.00016281696674929 0.00364081462654714
1.95550810180587 0.00172202753006867 0.0011671453509061 0.000398480100341813 0.000156402078820757 0.00398480100341813
2.1430837830076 0.00181303966845129 0.00134551222420255 0.000335458486369305 0.000132068957879442 0.00335458486369305
2.36817460044968 0.00204182190814856 0.00152865486537828 0.000351928789622057 0.000161238253148224 0.00351928789622057
2.63828358138018 0.0021966655306561 0.0017040684285803 0.000342952933576029 0.000149644168499774 0.00342952933576029
2.96241435849677 0.00234561012409809 0.0018582180426872 0.000347067172244804 0.000140324909166085 0.00347067172244804
3.35137129103669 0.00239170909367443 0.00199569249039952 0.000284811761268612 0.000111204842006296 0.00284811761268612
3.81811961008458 0.00257026868955963 0.00212627539241158 0.000309651610206574 0.000134341686941481 0.00309651610206574
4.37821759294206 0.00262977974368621 0.00226378374994577 0.000256045882594324 0.000109950111146112 0.00256045882594324
5.05033517237103 0.00267758820216068 0.00241880516592278 0.00018424255242139 7.45404838165068e-05 0.0018424255242139
0 0 0 0 0 0
4.71427638265654 0.000775010195064 0.000356207313885821 0.000299089328758343 0.000119713552419836 0.00299089328758343
5.11754693031392 0.000702569551235587 0.000376488175262396 0.000229158264205146 9.69231117680451e-05 0.00229158264205146
5.60147158750278 0.000775249398076864 0.000379920932766382 0.000275904227475104 0.000119424237835377 0.00275904227475104
6.18218117612941 0.00074031418585136 0.000395538219995792 0.00023286681238306 0.000111909153472508 0.0023286681238306
6.87903268248137 0.000695371583234469 0.000410716677414733 0.00020063386291592 8.40210429038154e-05 0.0020063386291592
7.71525449010371 0.000619209657191912 0.000412667691229823 0.00014903447688979 5.75074890722995e-05 0.0014903447688979
8.71872065925053 0.000703996925762187 0.000421908991815186 0.000195901879486343 8.61860544606584e-05 0.00195901879486343
9.92288006222671 0.000671267811958763 0.000435577788640734 0.000162279247227156 7.34107760908732e-05 0.00162279247227156
11.3678713457981 0.000613788423875869 0.000437284604947724 0.000132385769200234 4.41180497279103e-05 0.00132385769200234
13.1018608860838 0.000658789928678716 0.00043816919820715 0.000149669867277128 7.09508631944384e-05 0.00149669867277128
15.1826483344267 0.000590896919307521 0.000440710661622596 0.000106320477627446 4.38657800574791e-05 0.00106320477627446
17.6795932724381 0.000559996628175439 0.000440594206174981 7.92013597314452e-05 4.02010622690127e-05 0.000792013597314452
20.6759271980518 0.000608795354799911 0.000441273771109599 0.000116172030402718 5.13495532875935e-05 0.00116172030402718
24.2715279087882 0.00055957194222033 0.000441277274299444 8.3221880362201e-05 3.50727875586846e-05 0.00083221880362201
28.5862487616719 0.000572548413753333 0.00044121415023785 8.8600392056303e-05 4.27338714591802e-05 0.00088600392056303
33.7639137851323 0.000581380445355809 0.000441264266478201 9.74651649506798e-05 4.26510139269289e-05 0.000974651649506798
39.9771118132849 0.000537278189233887 0.000441250703723789 7.05093793046043e-05 2.55181062054927e-05 0.000705093793046043
47.4329494470679 0.000564259708219611 0.000441249524774631 8.0084022179712e-05 4.29261612652672e-05 0.000800840221797121
56.3799546076076 0.000538906809819356 0.000441252031051952 6.5511793604079e-05 3.21429851633259e-05 0.00065511793604079
67.1163608002552 0.00051265104374489 0.000441257064662744 5.10209942644483e-05 2.0372984817697e-05 0.000510209942644483
80.0000482314323 0.000549947848590855 0.00044125754202462 7.38352490203395e-05 3.48550575458957e-05 0.000738352490203395
95.4604731488448 0.000542854298288151 0.000441257169550412 6.75993921872235e-05 3.39977365505149e-05 0.000675993921872235
114.01298304974 0.000532163463529255 0.000441256262915588 6.28460220835791e-05 2.8061178530088e-05 0.000628460220835791
