t n_approx n_est n_total
0.0105360515657826 1 8 9
0.0231793134447218 1 8 9
0.0168576825052522 5 12 17
0.0244436396326157 5 12 17
0.0335467881854519 5 12 17
0.0444705664488553 5 12 17
0.0575791003649394 5 12 17
0.0733093410642404 5 12 17
0.0921856299034015 5 12 17
0.114837176510395 5 12 17
0.142019032438787 5 12 17
0.174637259552857 5 12 17
0.213779132089742 5 12 17
0.260749379134003 5 12 17
0.317113675587117 5 12 17
0.384750831330853 5 12 17
0.465915418223337 5 12 17
0.563312922494317 5 12 17
0.514614170358827 13 20 33
0.573052672921415 13 20 33
0.643178875996521 13 20 33
0.727330319686648 13 20 33
0.828312052114801 13 20 33
0.777821185900725 19 24 43
0.838410225357616 19 24 43
0.911117072705886 19 24 43
0.99836528952381 19 24 43
1.10306314970532 19 24 43
1.22870058192313 19 24 43
1.3794655005845 19 24 43
1.56038340297815 19 24 43
1.77748488585052 19 24 43
1.66893414441434 31 54 85
1.79919503413776 31 54 85
1.95550810180587 31 54 85
2.1430837830076 31 54 85
2.36817460044968 31 54 85
2.63828358138018 31 54 85
2.96241435849677 31 54 85
3.35137129103669 31 54 85
3.81811961008458 31 54 85
4.37821759294206 31 54 85
5.05033517237103 31 54 85
4.71427638265654 57 84 141
5.11754693031392 57 84 141
5.60147158750278 57 84 141
6.18218117612941 57 84 141
6.87903268248137 57 84 141
7.71525449010371 57 84 141
8.71872065925053 57 84 141
9.92288006222671 57 84 141
11.3678713457981 57 84 141
13.1018608860838 57 84 141
15.1826483344267 57 84 141
17.6795932724381 57 84 141
20.6759271980518 57 84 141
24.2715279087882 57 84 141
28.5862487616719 57 84 141
33.7639137851323 57 84 141
39.9771118132849 57 84 141
47.4329494470679 57 84 141
56.3799546076076 57 84 141
67.1163608002552 57 84 141
80.0000482314323 57 84 141
95.4604731488448 57 84 141
114.01298304974 57 84 141
