t n_approx n_est n_total
0.0105360515657826 10 80 90
0.0231793134447218 16 126 142
0.0168576825052522 78 160 238
0.0244436396326157 82 192 274
0.0335467881854519 102 240 342
0.0444705664488553 119 276 395
0.0575791003649394 142 336 478
0.0733093410642404 158 373 531
0.0921856299034015 181 431 612
0.114837176510395 202 480 682
0.142019032438787 222 528 750
0.174637259552857 242 577 819
0.213779132089742 267 636 903
0.260749379134003 289 688 977
0.317113675587117 314 746 1060
0.384750831330853 339 808 1147
0.465915418223337 366 876 1242
0.563312922494317 394 941 1335
0.514614170358827 1023 1136 2159
0.573052672921415 1029 1206 2235
0.643178875996521 1082 1290 2372
0.727330319686648 1139 1371 2510
0.828312052114801 1199 1468 2667
0.777821185900725 1660 1611 3271
0.838410225357616 1660 1643 3303
0.911117072705886 1733 1740 3473
0.99836528952381 1800 1826 3626
1.10306314970532 1887 1934 3821
1.22870058192313 1963 2031 3994
1.3794655005845 2045 2137 4182
1.56038340297815 2135 2248 4383
1.77748488585052 2225 2363 4588
1.66893414441434 3406 4474 7880
1.79919503413776 3424 4625 8049
1.95550810180587 3543 4832 8375
2.1430837830076 3661 5053 8714
2.36817460044968 3796 5280 9076
2.63828358138018 3924 5500 9424
2.96241435849677 4060 5735 9795
3.35137129103669 4195 5970 10165
3.81811961008458 4336 6212 10548
4.37821759294206 4474 6459 10933
5.05033517237103 4614 6694 11308
4.71427638265654 7812 9236 17048
5.11754693031392 7844 9411 17255
5.60147158750278 8041 9709 17750
6.18218117612941 8236 10009 18245
6.87903268248137 8456 10321 18777
7.71525449010371 8671 10638 19309
8.71872065925053 8889 10956 19845
9.92288006222671 9100 11274 20374
11.3678713457981 9320 11590 20910
13.1018608860838 9520 11890 21410
15.1826483344267 9718 12171 21889
17.6795932724381 9887 12417 22304
20.6759271980518 10042 12646 22688
24.2715279087882 10183 12857 23040
28.5862487616719 10285 13011 23296
33.7639137851323 10398 13180 23578
39.9771118132849 10426 13204 23630
47.4329494470679 10484 13290 23774
56.3799546076076 10518 13350 23868
67.1163608002552 10540 13364 23904
80.0000482314323 10566 13404 23970
95.4604731488448 10576 13428 24004
114.01298304974 10602 13486 24088
